Model,Method,Method / Metrics,StrongReject ASR,StrongReject Score,AdvBench ASR,AdvBench Score,HarmBench ASR,HarmBench Score,CatQA ASR,CatQA Score,JBB-Behaviors ASR,JBB-Behaviors Score
gpt-oss-20b,Baseline,Direct,0.00% (0.00%),0.00% (0.00%),0.00% (0.00%),0.00% (0.00%),2.19% (0.46%),0.00% (0.00%),0.81% (0.50%),0.00% (0.00%),1.00% (0.37%),0.00% (0.12%)
gpt-oss-20b,Baseline,Policy Puppetry,1.43% (0.43%),0.90% (0.86%),2.95% (0.60%),1.79% (0.81%),28.50% (0.54%),11.77% (0.86%),1.77% (0.56%),0.54% (0.00%),6.25% (0.62%),2.86% (0.06%)
gpt-oss-20b,Baseline,H-CoT,5.83% (0.63%),3.58% (0.34%),5.14% (0.54%),3.23% (0.48%),20.94% (0.47%),11.67% (0.94%),9.00% (0.30%),7.77% (0.26%),5.25% (0.54%),3.90% (0.04%)
gpt-oss-20b,Baseline,AutoRAN,21.80% (0.39%),23.53% (0.76%),35.14% (0.40%),37.16% (0.37%),37.12% (0.53%),34.22% (0.73%),32.68% (0.53%),37.38% (0.75%),34.52% (0.41%),35.20% (0.40%)
gpt-oss-20b,Ours,Structural CoT Bypass,62.05% (0.31%),49.01% (0.35%),71.53% (0.69%),54.50% (0.12%),71.64% (1.27%),44.24% (0.03%),66.54% (0.28%),58.03% (0.28%),66.50% (0.37%),50.03% (0.02%)
gpt-oss-20b,Ours,Fake Over-Refusal + SCB,86.02% (0.18%),50.50% (0.33%),91.25% (0.29%),55.66% (0.23%),90.31% (0.37%),46.51% (0.03%),87.34% (0.18%),58.06% (0.10%),89.00% (0.31%),50.02% (0.14%)
gpt-oss-20b,Ours,Reasoning Hijack,89.30% (0.34%),66.43% (1.23%),91.69% (0.46%),70.01% (0.54%),92.38% (0.64%),62.35% (0.65%),91.95% (0.44%),73.01% (1.29%),91.25% (1.61%),68.10% (0.49%) 
gpt-oss-120b,Baseline,Direct,0.00% (0.00%),0.00% (0.00%),0.00% (0.00%),0.00% (0.00%),1.09% (0.64%),0.89% (0.88%),0.18% (0.47%),0.00% (0.00%),2.38% (0.51%),1.23% (0.89%)
gpt-oss-120b,Baseline,Policy Puppetry,2.63% (0.50%),0.52% (0.31%),2.78% (0.41%),0.68% (0.07%),28.88% (0.47%),10.54% (0.29%),4.50% (0.60%),2.45% (0.62%),10.89% (0.45%),4.50% (0.63%)
gpt-oss-120b,Baseline,H-CoT,8.94% (0.64%),4.36% (0.35%),7.16% (0.70%),3.10% (0.50%),20.38% (0.43%),11.34% (0.34%),11.27% (0.71%),8.83% (0.14%),6.00% (0.55%),2.78% (0.09%)
gpt-oss-120b,Baseline,AutoRAN,21.80% (0.68%),22.53% (0.53%),31.92% (0.62%),33.62% (0.04%),37.12% (0.76%),30.37% (0.09%),34.54% (0.53%),39.14% (0.31%),30.50% (0.57%),31.60% (0.89%)
gpt-oss-120b,Ours,Structural CoT Bypass,85.62% (0.24%),66.85% (0.46%),92.83% (0.35%),71.87% (0.36%),92.12% (0.31%),58.19% (0.19%),90.63% (0.23%),76.53% (0.30%),92.75% (0.27%),72.30% (0.03%)
gpt-oss-120b,Ours,Fake Over-Refusal + SCB,93.53% (0.22%),58.24% (0.25%),96.25% (0.32%),69.39% (0.23%),95.38% (0.26%),54.13% (0.42%),95.31% (0.25%),67.40% (0.28%),96.00% (0.27%),69.45% (0.10%)
gpt-oss-120b,Ours,Reasoning Hijack,91.69% (0.31%),64.06% (0.25%),95.33% (0.27%),70.04% (0.08%),92.06% (0.22%),59.13% (0.30%),94.00% (0.28%),71.08% (0.01%),95.50% (0.30%),67.87% (0.39%)
